answer,subject,choice_3,choice_2,choice_1,choice_0,question
3,high_school_chemistry,7,-1,-3,2,پرکلوریٹ آئن میں کلورین کا آکسیکرن نمبر، ClO4–، ہے۔
3,high_school_chemistry,پانی کا بخارات کا دباؤ,بے گھر پانی کا ماس,پانی کی کثافت,گیس کی تشکیل کی گرمی,گیس کے مالیکیولر ماس کے تعین کے لیے کئی تجربات کیے گئے ہیں۔ ایک طریقہ گیسی مصنوعات تیار کرنے کے لیے فلاسک میں ٹھوس یا مائع کو گرم کرنے سے شروع ہوتا ہے۔ گیس ایک ٹیوب سے گزرتی ہے اور پانی کو الٹی، پانی سے بھری ہوئی بوتل میں نکال دیتی ہے۔ شروع ہونے والے مواد کے بڑے پیمانے پر، بے گھر پانی کے حجم اور نظام کے درجہ حرارت کے ساتھ ماپا جاتا ہے۔ الٹی پانی سے بھری بوتل میں دباؤ بیرونی دباؤ کے برابر ہے۔ ایک بار بیرومیٹرک دباؤ کو ریکارڈ کرنے کے بعد، تجربہ ختم کرنے کے لیے کونسی دوسری معلومات کی ضرورت ہے؟
2,high_school_chemistry,ہائیڈروجن بانڈ کے امکانات میں اضافہ,فی مالیکیول میں حوصلہ افزائی شدہ ڈوپولس کی بڑھتی ہوئی تعداد,مرکبات کی بڑھتی ہوئی polarity,مرکبات کی بڑھتی ہوئی مقدار,کاربن ایٹموں کی تعداد میں اضافے کے ساتھ ہی سیدھے زنجیر والے ہائیڈرو کاربن کا پگھلنے کا نقطہ بڑھتا ہے۔ اس کی وجہ یہ ہے۔
1,high_school_chemistry,C3H8O2,C2H6O3,C3H6O,C2H4O,ایک مرکب کا ایک نمونہ جو صرف کاربن، ہائیڈروجن اور آکسیجن پر مشتمل ہوتا ہے اس کا کل وزن 29.05 جی پایا جاتا ہے۔ اگر کاربن کی کمیت 18.02 جی ہے اور ہائیڈروجن کی کمیت 3.03 جی ہے، تو مرکب کا تجرباتی فارمولا کیا ہے؟
2,high_school_chemistry,آکسائیڈ بنانے کے لیے کیل کو تیزاب میں تحلیل کریں۔,کیل کو بہت چھوٹے، دھول کے سائز کے ذرات میں پیس لیں، اور شعلے میں اسپرے کریں,طریقہ (A) میں استعمال کریں، لیکن زیادہ درجہ حرارت تک پہنچنے کے لیے آکسیسیٹیلین ٹارچ استعمال کریں۔,ایک لوہے کی کیل کو کروسیبل چمٹے سے پکڑیں، اور بنسن برنر کے شعلے میں زور سے گرم کریں۔,لوہے کی کیل جلانے کا سب سے آسان طریقہ کون سا ہوگا؟
1,high_school_chemistry,SF6,پی ایف 5,NH4+,BF3,مندرجہ ذیل میں سے کس میں مرکزی ایٹم کے گرد الیکٹرانوں کا آکٹیٹ ہے؟
2,high_school_chemistry,270 ملی لیٹر,90.0 ملی لیٹر,27 ملی لیٹر,30.0 ملی لیٹر,0.150 M H3PO4 کے 50.0 ملی لیٹر کو مکمل طور پر بے اثر کرنے کے لیے 0.250 M KOH کے کتنے ملی لیٹر لگتے ہیں؟
3,high_school_chemistry,متبادل رد عمل کے راستے زیادہ درجہ حرارت پر دستیاب ہوتے ہیں۔,ری ایکٹنٹ مالیکیولز کی زیادہ تقسیم میں تیز رفتاری ہوگی۔,ری ایکٹنٹ مالیکیولز کے درمیان تصادم کی تعداد بڑھ جائے گی۔,ری ایکٹنٹس کو چالو کرنے والی توانائی پر قابو پانے کا زیادہ امکان ہوگا۔,NH4+(aq) + NO2- (aq) → N2(g) + 2H2O(l) مندرجہ بالا ردعمل کے درجہ حرارت کو بڑھانے سے رد عمل کی شرح میں اضافہ ہوگا۔ درج ذیل میں سے کون سی وجہ نہیں ہے کہ درجہ حرارت بڑھنے سے رد عمل کی شرح بڑھ جاتی ہے؟
2,high_school_chemistry,آرہینیئس مساوات,Clausius-Clapeyron مساوات,گبز مفت توانائی کی مساوات,رائڈبرگ مساوات,مائع کے بخارات کے دباؤ اور بخارات کی حرارت کے درمیان تعلق کو میں ظاہر کیا گیا ہے۔
3,high_school_chemistry,سلفر، نائٹروجن,کیلشیم، سیزیم,کلورین، آیوڈین,آکسیجن، کرومیم,عناصر کے درج ذیل جوڑوں میں سے، متواتر جدول میں اپنی پوزیشن کی بنیاد پر کون سا جوڑا بڑا برقی منفیت والا دوسرا عنصر رکھتا ہے؟
3,high_school_chemistry,(A)، (B) اور (C),وولٹ کولمب mol-1 K-1,J mol-1 K-1,L atm mol-1 K-1,R کی اکائیاں، مثالی گیس قانون مساوات مستقل، ہو سکتی ہیں۔
2,high_school_chemistry,CH3CH2NH2 اور CH3CH2CH2OH,C10H22 اور CH2CH2CH2OH,C6H6 اور C5H12,H2O اور CH3OH,مندرجہ ذیل میں سے کون سے مائعات کے ناقابل تسخیر ہونے کی توقع ہے؟
2,high_school_chemistry,ہر عنصر سے خارج ہونے والی ایکس رے,عناصر کا اخراج سپیکٹرم، خاص طور پر ہائیڈروجن,مخصوص گرمی کی صلاحیت,ہر عنصر کی کثافت,مندرجہ ذیل میں سے، ایٹم کی ساخت کا اندازہ لگانے کے لیے استعمال ہونے والی سب سے اہم تجرباتی معلومات تھیں۔
3,high_school_chemistry,"1,4-ڈائیکلوروبینزین","2,4-ڈائیکلوروبینزین","1,3-ڈیکلوروبینزین","1,2-ڈائیکلوروبینزین","پیرا ڈیکلوروبینزین کو ""متھ بالز"" کے طور پر استعمال کیا جاتا ہے۔ اس کمپاؤنڈ کا نام بھی دیا جا سکتا ہے۔"
0,high_school_chemistry,یہ ایک گیس ہے جو جسم میں آسانی سے داخل ہوتی ہے اور ہڈیوں کو نشانہ بناتی ہے کیونکہ یہ کیمیائی طور پر کیلشیم سے ملتی جلتی ہے۔,یہ ایک گیس ہے جو جسم میں آسانی سے داخل ہوتی ہے اور تھائیرائیڈ کو نشانہ بناتی ہے کیونکہ یہ کیمیائی طور پر آیوڈین سے ملتی جلتی ہے۔,یہ ایک گیس ہے جو خون کے دھارے میں انتہائی گھلنشیل ہے، اور یہ اہم اعضاء میں خراب ہو جاتی ہے,یہ ایک گیس ہے جسے سانس لیا جا سکتا ہے اور پھر یہ پھیپھڑوں میں رہنے والے ٹھوس میں تبدیل ہو سکتی ہے,ریڈن صحت کے لیے خطرہ ہے کیونکہ
3,high_school_chemistry,3 سگما اور 1 پائی,1 سگما اور 1 پائی,2 سگما اور 1 پائی,1 سگما اور 2 پائی,نائٹریٹ آئن کی ہر گونج کی شکل، NO3- میں کتنے سگما اور کتنے pi بانڈز ہوتے ہیں؟
3,high_school_chemistry,CH3NH2,CH3OCH2Br,ایچ سی این,CH3OCH2CH3,مندرجہ ذیل میں سے کون سا ہائیڈروجن بانڈ بنا سکتا ہے؟
2,high_school_chemistry,آر سی ایل,آر سی او او ایچ,ROH,آر سی ایچ او,فنکشنل گروپ جو نامیاتی تیزاب کی نمائندگی کرتا ہے اس طرح لکھا جاتا ہے (نوٹ: R باقی مالیکیول کی نمائندگی کرتا ہے)
0,high_school_chemistry,0.25 گرام,3.33 گرام,1.5 × 10^-4 گرام,1.00 گرام,ایک مخصوص تابکار مادے کی نصف زندگی 36 منٹ ہوتی ہے۔ اس مواد کے 10.00 گرام سے شروع کرتے ہوئے، 2 گھنٹے بعد کتنے گرام رہ جائیں گے؟
1,high_school_chemistry,1.76,5.4 × 10^-3,2,1,500 ملی لیٹر محلول بنانے کے لیے کافی پانی میں 0.1665 مول ہائپوکلورس ایسڈ (HClO) کو تحلیل کرکے تیار کردہ محلول کا pH کیا ہے؟ Ka 3.0 × 10^-4 ہے۔
0,high_school_chemistry,9.4 × 10^-6 مول/L,7.4 × 10^-14 مول/L,2.0 × 10^-10 ایم,8.8 × 10^-11 ایم,آئرن(III) ہائیڈرو آکسائیڈ میں Ksp = 1.6 × 10^-39 ہے۔ اس مرکب کی داڑھ کی گھلنشیلتا کیا ہے؟
0,high_school_chemistry,ایک الفا ذرہ,ایک پروٹون,ایک نیوٹران,بیٹا پارٹیکل,سب سے زیادہ گھسنے کی صلاحیت کے ساتھ ذیلی ایٹمی ذرہ ہے۔
3,high_school_chemistry,CO32-، NO2- اور NO3-,CO32- اور NO3-,NO2- اور NO3-,CO2 اور CO32-,درج ذیل مالیکیولز کے لیے لیوس ڈھانچے پر غور کریں: CO2، CO32-، NO2-، اور NO3-۔ کون سا مالیکیول یا مالیکیول مرکزی ایٹم کے گرد sp2 ہائبرڈائزیشن کی نمائش کرتے ہیں؟
2,high_school_chemistry,1p چوٹی میں سب سے کم توانائی ہے۔,2p چوٹی میں سب سے کم توانائی ہے۔,2s چوٹی میں سب سے کم توانائی ہے۔,1s چوٹی میں سب سے کم توانائی ہے۔,کاربن کے فوٹو الیکٹران سپیکٹرم میں تین یکساں سائز کی چوٹیاں ہیں۔ سب سے کم توانائی پر کون سی چوٹی ہے؟
1,high_school_chemistry,انوڈ پر برومین اور کیتھوڈ پر ہائیڈروجن,کیتھوڈ پر میگنیشیم اور اینوڈ پر آکسیجن,کیتھوڈ پر میگنیشیم اور انوڈ پر برومین,انوڈ پر میگنیشیم اور کیتھوڈ پر برومین,پگھلے ہوئے میگنیشیم برومائڈ کے الیکٹرولیسس سے پیدا ہونے کی امید ہے۔
3,high_school_chemistry,اوپر کا سارا,صارف کی مصنوعات یا منشیات کی شیلف لائف,مختلف درجہ حرارت پر مستقل شرح,رد عمل کی ایکٹیویشن انرجی,Arrhenius مساوات کا تعین کرنے کے لیے استعمال کیا جا سکتا ہے۔
2,high_school_chemistry,932 kJ/mol اور 3416 °C,804 kJ/mol اور 2963 °C,795 kJ/mol اور 2436 °C,-200 kJ/mol اور 3524 °C,"نکل (Z = 28, A = 59) میں پہلی آئنائزیشن توانائی 737 kJ/mol اور ایک نقطہ ابلتا ہے 2913 °C، جبکہ Pt (Z = 78, A = 195) میں پہلی آئنائزیشن توانائی 870 kJ/mol ہے اور 3825 ° C کا ابلتا نقطہ۔ مندرجہ ذیل میں سے کون سی آئنائزیشن انرجی اور پیلیڈیم کے لیے ابلتے نقطہ کی سب سے زیادہ معقول قدریں ہیں؟"
3,high_school_chemistry,بائیں طرف 10 الیکٹران,بائیں طرف 3 الیکٹران,دائیں طرف 6 الیکٹران,بائیں طرف 6 الیکٹران,تیزابی محلول میں برومیٹ آئن، BrO3- دوسرے مادوں کے ساتھ رد عمل ظاہر کر سکتا ہے، جس کے نتیجے میں Br2 ہوتا ہے۔ برومین بنانے والے برومیٹ آئنوں کے آدھے رد عمل کو متوازن کریں۔ متوازن نصف ردعمل ہے
3,high_school_chemistry,6.52,7.92,8.52,4.26,ایک کمزور، مونوپروٹک ایسڈ کا 0.0025 mol 0.250 L آست پانی میں تحلیل ہوتا ہے۔ اس کے بعد پی ایچ کو 4.26 کے طور پر ماپا گیا۔ اس کمزور تیزاب کا pKa کیا ہے؟
0,high_school_chemistry,19 نیوٹران، 19 پروٹون، 19 الیکٹران,21 نیوٹران، 19 پروٹون، 19 الیکٹران,20 نیوٹران، 19 پروٹون، 19 الیکٹران,21 نیوٹران، 19 پروٹون، 18 الیکٹران,پوٹاشیم -40 ایک معمولی آاسوٹوپ ہے جو قدرتی طور پر پائے جانے والے پوٹاشیم میں پایا جاتا ہے۔ یہ تابکار ہے اور سادہ تابکاری کاؤنٹرز پر اس کا پتہ لگایا جا سکتا ہے۔ جب یہ K2SO4 کا حصہ ہے تو پوٹاشیم-40 میں کتنے پروٹون، نیوٹران اور الیکٹران ہوتے ہیں؟
1,high_school_chemistry,2 SO2(g) + O2(g) → 2 SO3(g),C(s) + O2(g) → CO2(g),CH4(g) + 2 O2(g) → CO2(g) + 2 H2O(l),HCl(aq) + NaOH(aq) → NaCl(aq) + H2O(l),مندرجہ ذیل میں سے کون سے رد عمل سے اینٹروپی میں سب سے زیادہ کمی متوقع ہے؟
0,high_school_chemistry,5.0 × 10^-3,1.7 × 10^-1,2.0 × 10^-1,2.0 × 10^-3,اگر ایک 0.060 داڑھ کے محلول کا pH 2.0 ہے تو کمزور مونوپروٹک ایسڈ کے لیے آئنائزیشن کا مستقل کیا ہے؟
3,high_school_chemistry,251 ٹور,568 ٹور,345 ٹور,213 ٹور,سالوینٹس A اور B ایک مثالی حل بناتے ہیں۔ سالوینٹ A میں کمرے کے درجہ حرارت پر بخارات کا دباؤ 345 ٹور ہوتا ہے۔ اسی درجہ حرارت پر، سالوینٹ B کا بخارات کا دباؤ 213 ٹور ہے۔ ایک مرکب کا بخارات کا دباؤ کیا ہے جہاں A کا تل کا حصہ 0.285 ہے؟
3,high_school_chemistry,HBrO4,HBrO2,HBrO3,ایچ بی آر او,مندرجہ ذیل میں سے کون سا مضبوط ترین Brønsted-Lowry acid ہے؟
2,high_school_chemistry,C6H5CHO,CH3CH2CHO,CH3CH2COOH,CH3CH2OH,مندرجہ ذیل میں سے کون سا مالیکیول ہائیڈروجن بانڈ اپنے جیسے مالیکیولز کے ساتھ نہیں بنا سکتا لیکن کیا مندرجہ ذیل جوابات میں اس کے اوپر یا نیچے کسی مالیکیول کے ساتھ ہائیڈروجن بانڈ ہو سکتا ہے؟
1,high_school_chemistry,HIO3 اور KClO3,NaBr اور KBr,HC2H3O2 اور KC2H3O2,NaCl اور HCl,مندرجہ ذیل مادوں کا کون سا جوڑا بفر حل بنانے کے لیے استعمال کیا جا سکتا ہے؟
3,high_school_chemistry,P-Cl,N-C,Br-N,O-S,مندرجہ ذیل میں سے کس میں بانڈ کا منفی اختتام آخری لکھا گیا ہے؟
3,high_school_chemistry,جب ردعمل مسلسل حجم پر دباؤ میں کوئی تبدیلی نہیں دکھاتا ہے۔,جب تمام ارتکاز 1.00 داڑھ ہو۔,جب ارتکاز معیاری حالت میں ہو۔,تمام رد عمل کے لیے مطلق صفر پر,Kp اور Kc کی عددی قدر کب ایک جیسی ہوگی؟
3,high_school_chemistry,Mg(s),Ca2+(aq),Na(s),H+(aq),چاندی کی دھات، جو اکثر پارے کے ساتھ مل جاتی ہے، مادہ کو مطلوبہ آکسیکرن حالت میں کم کرنے کے لیے استعمال ہوتی ہے۔ اگر چاندی کے دھاتی املگام کو پارے کے خدشات کی وجہ سے استعمال نہیں کیا جا سکتا، تو درج ذیل میں سے کون سا معقول اور محفوظ متبادل ہو گا؟
1,high_school_chemistry,مندرجہ بالا میں سے کوئی بھی نہیں۔,درجہ حرارت میں اضافہ,دباؤ میں اضافہ,PCl3 کی حراستی کو کم کرنا,PCl3(g) + Cl2(g) ↔ PCl5(g) ΔH = -92.5 kJ/mol مندرجہ ذیل طریقوں میں سے کس میں مندرجہ بالا ردعمل کو مزید پروڈکٹ بنانے کے لیے جوڑ دیا جا سکتا ہے؟
1,high_school_chemistry,آخری درجہ حرارت نمونے اور پانی کے اوسط ابتدائی درجہ حرارت سے کم ہے۔ لہذا نمونے اور پانی کی کل توانائی کم ہوگئی۔,نمونے کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا؛ اس لیے نمونے کا CP پانی کے CP سے زیادہ ہونا چاہیے۔,نمونے کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا، لیکن نمونے نے اتنی ہی حرارت کی توانائی کھو دی جتنی پانی نے حاصل کی۔,نمونے کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا؛ اس لیے نمونے نے حاصل کردہ پانی سے زیادہ گرمی کی توانائی کھو دی۔,مائع کے 25 جی کے نمونے کو 100 ° C پر گرم کیا گیا اور پھر تیزی سے ایک موصل کنٹینر میں منتقل کیا گیا جس میں 22 ° C پر 100 گرام پانی موجود تھا۔ مرکب کا درجہ حرارت بڑھ کر 35 ° C کے آخری درجہ حرارت تک پہنچ گیا۔ مندرجہ ذیل میں سے کون سا نتیجہ اخذ کیا جا سکتا ہے؟
3,high_school_chemistry,ان کی حرکی توانائی 2 سے کم کے عنصر سے بڑھ جاتی ہے۔,ان کی حرکی توانائی 2 کے عنصر سے بڑھ جاتی ہے۔,ان کی رفتار چار کے عنصر سے بڑھ جاتی ہے۔,ان کی رفتار دو کے عنصر سے بڑھ جاتی ہے۔,50 ° C پر آکسیجن گیس کا ایک نمونہ گرم کیا جاتا ہے، جو آخری درجہ حرارت 100 ° C تک پہنچ جاتا ہے۔ کون سا بیان گیس کے مالیکیولز کے رویے کی بہترین وضاحت کرتا ہے؟
2,high_school_chemistry,C12H22Br,C8H9Br,C6H4Br3,C7H5Br,ایک مرکب کا تجرباتی فارمولا کیا ہے جو 51.9% کاربن، 4.86% ہائیڈروجن اور 43.2% برومین ہے
3,high_school_chemistry,تمام مالیکیولز کی اوسط رفتار یکساں ہے۔,تینوں کنٹینرز میں دباؤ ایک جیسا ہے۔,تمام کنٹینرز میں مالیکیولز کی تعداد یکساں ہے۔,ہیلیم <نائٹروجن < کاربن ڈائی آکسائیڈ کے آرڈر میں کثافت بڑھ جاتی ہے۔,تین سٹیل کنٹینرز گیس کے نمونے رکھتے ہیں۔ کنٹینرز ایک ہی سائز اور ایک ہی درجہ حرارت پر ہیں۔ ایک کنٹینر میں 4.0 جی ہیلیم ہے، دوسرے میں 28.0 جی نائٹروجن ہے، اور تیسرے میں 44.0 جی کاربن ڈائی آکسائیڈ ہے۔ درج ذیل فہرست سے FALSE بیان منتخب کریں:
1,high_school_chemistry,181°C,45°C,527 °C,454°C,ہیلیم گیس کے نمونے کے آخری درجہ حرارت کا تعین °C میں کریں۔ نمونے نے ابتدائی طور پر 127 ° C اور 875 mm Hg پر 5.00 L کے حجم پر قبضہ کیا۔ نمونے کو مسلسل دباؤ پر گرم کیا گیا، یہاں تک کہ اس نے 10.00 L کے حجم پر قبضہ کر لیا۔
1,high_school_chemistry,قطبی مالیکیولز,گونج کے ڈھانچے,آزاد ذرات,آئنک مرکبات,وہ مادے جن کے لیوس ڈھانچے کو بغیر جوڑ والے الیکٹران کے ساتھ کھینچنا ضروری ہے۔
1,high_school_chemistry,CH3CH2CH2CH2Br,CH3CH2CH2CH2Cl,CH3CH2CH2CH2OH,CH3CH2CH2CH3,مندرجہ ذیل میں سے کون سا مالیکیول سب سے زیادہ نارمل ابلتا نقطہ ہونے کی توقع رکھتا ہے؟
1,high_school_chemistry,3Mg(s) + 2Cr(NO3)3(aq) → 3Mg2+(aq) + 2Cr(s) + NO3-(aq),Mg(s) + Cr3+ → Mg2+ + Cr(s),3Mg(s) + 2Cr3+ → 3Mg2+ + 2Cr(s),Mg(s) + Cr(NO3)3(aq) → Mg2+(aq) + Cr3+(aq) + 3NO3-(aq),ذیل میں کون سی خالص آئنک مساوات ایک ممکنہ ردعمل کی نمائندگی کرتی ہے جو اس وقت ہوتا ہے جب میگنیشیم دھات کی ایک پٹی کو کرومیم (III) نائٹریٹ کے محلول سے آکسائڈائز کیا جاتا ہے؟
2,high_school_chemistry,PO43-,H3PO4,H2PO4-,HPO42-,H2PO4- آئن کا کنجوگیٹ ایسڈ کیا ہے؟
1,high_school_chemistry,آخری درجہ حرارت اوسط ابتدائی درجہ حرارت سے کم ہے؛ اس لیے توازن کا مستقل 1 سے کم ہونا چاہیے۔,نمونے کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا؛ اس لیے نمونے کی حرارت کی گنجائش پانی کی حرارت کی گنجائش سے زیادہ ہونی چاہیے۔,اگرچہ نمونہ کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا، نمونہ نے حرارتی توانائی کی اتنی ہی مقدار کھو دی جتنی پانی نے حاصل کی۔,نمونے نے حاصل شدہ پانی سے زیادہ تھرمل توانائی کھو دی کیونکہ نمونہ کا درجہ حرارت پانی کے درجہ حرارت سے زیادہ تبدیل ہوا۔,ٹھوس کے 25 جی نمونے کو 100 ° C پر گرم کیا گیا اور پھر تیزی سے ایک موصل کنٹینر میں منتقل کیا گیا جس میں 26 ° C پر 100 گرام پانی رکھا گیا تھا۔ مرکب کا درجہ حرارت بڑھ کر 37 ° C کے آخری درجہ حرارت تک پہنچ گیا۔ مندرجہ ذیل میں سے کون سا نتیجہ اخذ کیا جا سکتا ہے؟
0,high_school_chemistry,2Ag+(aq) + Ti(s) → 2Ag(s) + Ti2+(aq),Al(NO3)3(s) → Al3+(aq) + 3NO3-(aq),HCN(aq) + H2O(l) → CN-(aq) + H3O+(aq),CH4(g) + O2(g) → CO2(g) + H2O(l),مندرجہ ذیل میں سے کون سا عمل ناقابل واپسی ردعمل ہے؟
2,high_school_chemistry,فلاسک کو پارٹ وے پانی سے بھریں، پھر 600 ملی لیٹر اسٹاک محلول شامل کریں، اسے مکس کرنے کے لیے گھومتے رہیں۔ آخر میں، فلاسک کو باقی راستے میں آست پانی سے بھریں۔,فلاسک کو پارٹ وے پانی سے بھریں، پھر 167 ملی لیٹر اسٹاک محلول شامل کریں، اسے مکس کرنے کے لیے گھومتے رہیں۔ آخر میں، فلاسک کو باقی راستے میں آست پانی سے بھریں۔,فلاسک میں 600 ملی لیٹر سٹاک محلول شامل کریں، پھر محلول کو گھومتے ہوئے فلاسک کو بقیہ راستے میں کشید پانی سے بھریں۔,فلاسک میں 167 ملی لیٹر سٹاک محلول شامل کریں، پھر محلول کو گھومتے ہوئے فلاسک کو باقی راستے میں کشید پانی سے بھریں۔,18.0 M H2SO4 کے اسٹاک سلوشن کے ساتھ شروع کرتے ہوئے، ایک والیومیٹرک فلاسک میں H2SO4 کے 3.0 M محلول کا 1.00 L نمونہ بنانے کا مناسب طریقہ کیا ہے؟
1,high_school_chemistry,ایک آسمان,ایک شراب,ایک الکین,ایک الڈیہائیڈ,مندرجہ ذیل میں سے کس میں آکسیجن نہیں ہے؟
1,high_school_chemistry,تینوں مراحل اینڈوتھرمک ہیں۔,تینوں مراحل exothermic ہیں۔,مرحلہ 1 اور 2 اینڈوتھرمک ہیں، اور مرحلہ 3 ایکزتھرمک ہے۔,مرحلہ 1 اور 2 ایکزوتھرمک ہیں، اور مرحلہ 3 اینڈوتھرمک ہے۔,حل کی تشکیل کو اکثر تین قدمی عمل کے طور پر تصور کیا جا سکتا ہے۔ مرحلہ 1. محلول کے لیے جگہ بنانے کے لیے سالوینٹ مالیکیول ایک دوسرے سے الگ ہو جاتے ہیں۔ مرحلہ 2۔ محلول کے مالیکیولز کو الگ کیا جاتا ہے تاکہ وہ سالوینٹ میں خالی جگہوں پر فٹ ہو جائیں۔ مرحلہ 3۔ الگ شدہ محلول اور سالوینٹس کو ایک ساتھ لایا جاتا ہے، خالی جگہوں کو بھر کر۔ مندرجہ بالا میں شامل توانائی کے بارے میں درج ذیل میں سے کون سا بیان درست ہے؟
0,high_school_chemistry,نمبر3-,نمبر2-,CO32-,CO2,درج ذیل مالیکیولز کے لیے لیوس ڈھانچے پر غور کریں: CO2، CO32-، NO2-، اور NO3-۔ کون سا مالیکیول سب سے چھوٹا بندھن رکھتا ہے؟
0,high_school_chemistry,4,3,2,1,کسی خاص رد عمل میں ری ایکٹنٹ A کے لیے ترتیب کا تعین کرنے میں، دیگر تمام ری ایکٹنٹس کے ارتکاز کو مستقل رکھا جاتا ہے جبکہ A کا ارتکاز ایک تجربے سے دوسرے تجربے میں تین گنا ہوتا ہے۔ رد عمل کی شرح تین گنا تک پائی جاتی ہے۔ شرح قانون میں A کے لیے موزوں ایکسپوننٹ ہے۔
1,high_school_chemistry,cis-trans isomers,ایک ٹیٹراہیڈرل ترتیب,کم از کم چار سگما بانڈز,کم از کم دو پائی بانڈز,سب سے آسان الکین ہے۔
2,high_school_chemistry,کچھ Fe(s) کو ہٹانا,کم ہو رہا ہے [Fe2+],مزید Fe(s) کو شامل کرنا,بڑھ رہا ہے [Fe2+],2Ag+(aq) + Fe(s) → 2Ag(s) + Fe2+(aq) مندرجہ ذیل میں سے کون سا مندرجہ بالا رد عمل کے ذریعہ بیان کردہ وولٹیک سیل میں پوٹینشل میں اضافے کا سبب بنے گا؟
